Date,Population (P),Cumulative_cases,Cumulative_deaths
7/12/2021 0:00,10257557,1227563,24584
7/13/2021 0:00,10257557,1229360,24588
7/14/2021 0:00,10257557,1231211,24593
7/15/2021 0:00,10257557,1233228,24598
7/16/2021 0:00,10257557,1235216,24602
7/17/2021 0:00,10257557,1236717,24608
7/18/2021 0:00,10257557,1238255,24612
7/19/2021 0:00,10257557,1240944,24621
7/20/2021 0:00,10257557,1243549,24629
7/21/2021 0:00,10257557,1246345,24635
7/22/2021 0:00,10257557,1248859,24647
7/23/2021 0:00,10257557,1251299,24663
7/24/2021 0:00,10257557,1253243,24671
7/25/2021 0:00,10257557,1255021,24679
7/26/2021 0:00,10257557,1258443,24685
7/27/2021 0:00,10257557,1261791,24699
7/28/2021 0:00,10257557,1265261,24704
7/29/2021 0:00,10257557,1268437,24717
7/30/2021 0:00,10257557,1271543,24723
7/31/2021 0:00,10257557,1273878,24734
8/1/2021 0:00,10257557,1276084,24744
8/2/2021 0:00,10257557,1279776,24759
8/3/2021 0:00,10257557,1283499,24771
8/4/2021 0:00,10257557,1287247,24790
8/5/2021 0:00,10257557,1290740,24813
8/6/2021 0:00,10257557,1293961,24830
8/7/2021 0:00,10257557,1296453,24853
8/8/2021 0:00,10257557,1298490,24872
8/9/2021 0:00,10257557,1302739,24900
8/10/2021 0:00,10257557,1306756,24925
8/11/2021 0:00,10257557,1310515,24939
8/12/2021 0:00,10257557,1313845,24961
8/13/2021 0:00,10257557,1317037,24992
8/14/2021 0:00,10257557,1319363,25020
8/15/2021 0:00,10257557,1321137,25035
8/16/2021 0:00,10257557,1324671,25063
8/17/2021 0:00,10257557,1328055,25093
8/18/2021 0:00,10257557,1331623,25118
8/19/2021 0:00,10257557,1334777,25149
8/20/2021 0:00,10257557,1337761,25173
8/21/2021 0:00,10257557,1339640,25198
8/22/2021 0:00,10257557,1340938,25212
8/23/2021 0:00,10257557,1344260,25245
8/24/2021 0:00,10257557,1347232,25276
8/25/2021 0:00,10257557,1350096,25304
8/26/2021 0:00,10257557,1352697,25334
8/27/2021 0:00,10257557,1354972,25361
8/28/2021 0:00,10257557,1356502,25388
8/29/2021 0:00,10257557,1357718,25419
8/30/2021 0:00,10257557,1360466,25440
8/31/2021 0:00,10257557,1362925,25465
9/1/2021 0:00,10257557,1365520,25496
9/2/2021 0:00,10257557,1367786,25542
9/3/2021 0:00,10257557,1369643,25575
9/4/2021 0:00,10257557,1370975,25603
9/5/2021 0:00,10257557,1371933,25640
9/6/2021 0:00,10257557,1373231,25671
9/7/2021 0:00,10257557,1375610,25703
9/8/2021 0:00,10257557,1377840,25728
9/9/2021 0:00,10257557,1379913,25760
9/10/2021 0:00,10257557,1381780,25787
9/11/2021 0:00,10257557,1382986,25811
9/12/2021 0:00,10257557,1383960,25831
9/13/2021 0:00,10257557,1386019,25851
9/14/2021 0:00,10257557,1387884,25871
9/15/2021 0:00,10257557,1389720,25890
9/16/2021 0:00,10257557,1391226,25914
9/17/2021 0:00,10257557,1392617,25937
9/18/2021 0:00,10257557,1393597,25966
9/19/2021 0:00,10257557,1394360,25982
9/20/2021 0:00,10257557,1396342,26006
9/21/2021 0:00,10257557,1397865,26031
9/22/2021 0:00,10257557,1399321,26059
9/23/2021 0:00,10257557,1400644,26078
9/24/2021 0:00,10257557,1401841,26102
9/25/2021 0:00,10257557,1402728,26127
9/26/2021 0:00,10257557,1403437,26144
9/27/2021 0:00,10257557,1404927,26162
